,2017 NAICS Title,2017 NAICS Code,2012 NAICS Code,2007 NAICS Code,2002 NAICS Code,1997 NAICS Code
416,Cut Stone and Stone Product Manufacturing,327991,327991,327991,327991,327991
417,Ground or Treated Mineral and Earth Manufacturing,327992,327992,327992,327992,327992
418,Mineral Wool Manufacturing,327993,327993,327993,327993,327993
419,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,327999,327999,327999,327999,327999
420,Iron and Steel Mills and Ferroalloy Manufacturing,331110,331110,331111,331111,331111
421,Iron and Steel Mills and Ferroalloy Manufacturing,331110,331110,331112,331112,331112
422,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,331210,331210,331210,331210,331210
423,Rolled Steel Shape Manufacturing,331221,331221,331221,331221,331221
424,Steel Wire Drawing,331222,331222,331222,331222,331222
425,Alumina Refining and Primary Aluminum Production,331313,331313,331311,331311,331311
426,Alumina Refining and Primary Aluminum Production,331313,331313,331312,331312,331312
427,Secondary Smelting and Alloying of Aluminum,331314,331314,331314,331314,331314
428,"Aluminum Sheet, Plate, and Foil Manufacturing",331315,331315,331315,331315,331315
429,"Other Aluminum Rolling, Drawing, and Extruding",331318,331318,331316,331316,331316
430,"Other Aluminum Rolling, Drawing, and Extruding",331318,331318,331319,331319,331319
431,Nonferrous Metal (except Aluminum) Smelting and Refining,331410,331410,331411,331411,331411
432,Nonferrous Metal (except Aluminum) Smelting and Refining,331410,331410,331419,331419,331419
433,"Copper Rolling, Drawing, Extruding, and Alloying",331420,331420,331421,331421,331421
434,"Copper Rolling, Drawing, Extruding, and Alloying",331420,331420,331422,331422,331422
435,"Copper Rolling, Drawing, Extruding, and Alloying",331420,331420,331423,331423,331423
436,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",331491,331491,331491,331491,331491
437,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",331492,331492,331492,331492,331492
438,Iron Foundries,331511,331511,331511,331511,331511
439,Steel Investment Foundries,331512,331512,331512,331512,331512
440,Steel Foundries (except Investment),331513,331513,331513,331513,331513
441,Nonferrous Metal Die-Casting Foundries,331523,331523,331521,331521,331521
442,Nonferrous Metal Die-Casting Foundries,331523,331523,331522,331522,331522
443,Aluminum Foundries (except Die-Casting),331524,331524,331524,331524,331524
444,Other Nonferrous Metal Foundries (except Die-Casting),331529,331529,331525,331525,331525
445,Other Nonferrous Metal Foundries (except Die-Casting),331529,331529,331528,331528,331528
446,Iron and Steel Forging,332111,332111,332111,332111,332111
447,Nonferrous Forging,332112,332112,332112,332112,332112
448,Custom Roll Forming,332114,332114,332114,332114,332114
449,Powder Metallurgy Part Manufacturing,332117,332117,332117,332117,332117
450,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",332119,332119,332115,332115,332115
451,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",332119,332119,332116,332116,332116
452,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",332215,332215,332211,332211,332211
453,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",332215,332215,332214,332214,332214
454,Saw Blade and Handtool Manufacturing,332216,332216,332212,332212,332212
455,Saw Blade and Handtool Manufacturing,332216,332216,332213,332213,332213
456,Prefabricated Metal Building and Component Manufacturing,332311,332311,332311,332311,332311
457,Fabricated Structural Metal Manufacturing,332312,332312,332312,332312,332312
458,Plate Work Manufacturing,332313,332313,332313,332313,332313
459,Metal Window and Door Manufacturing,332321,332321,332321,332321,332321
460,Sheet Metal Work Manufacturing,332322,332322,332322,332322,332322
461,Ornamental and Architectural Metal Work Manufacturing,332323,332323,332323,332323,332323
462,Power Boiler and Heat Exchanger Manufacturing,332410,332410,332410,332410,332410
463,Metal Tank (Heavy Gauge) Manufacturing,332420,332420,332420,332420,332420
464,Metal Can Manufacturing,332431,332431,332431,332431,332431
465,Other Metal Container Manufacturing,332439,332439,332439,332439,332439
466,Hardware Manufacturing,332510,332510,332510,332510,332510
467,Spring Manufacturing,332613,332613,332611,332611,332611
468,Spring Manufacturing,332613,332613,332612,332612,332612
469,Other Fabricated Wire Product Manufacturing,332618,332618,332618,332618,332618
470,Machine Shops,332710,332710,332710,332710,332710
471,Precision Turned Product Manufacturing,332721,332721,332721,332721,332721
472,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",332722,332722,332722,332722,332722
473,Metal Heat Treating,332811,332811,332811,332811,332811
474,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",332812,332812,332812,332812,332812
475,"Electroplating, Plating, Polishing, Anodizing, and Coloring",332813,332813,332813,332813,332813
476,Industrial Valve Manufacturing,332911,332911,332911,332911,332911
477,Fluid Power Valve and Hose Fitting Manufacturing,332912,332912,332912,332912,332912
478,Plumbing Fixture Fitting and Trim Manufacturing,332913,332913,332913,332913,332913
479,Other Metal Valve and Pipe Fitting Manufacturing,332919,332919,332919,332919,332919
480,Ball and Roller Bearing Manufacturing,332991,332991,332991,332991,332991
481,Small Arms Ammunition Manufacturing,332992,332992,332992,332992,332992
482,Ammunition (except Small Arms) Manufacturing,332993,332993,332993,332993,332993
483,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",332994,332994,332994,332994,332994
484,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",332994,332994,332995,332995,332995
485,Fabricated Pipe and Pipe Fitting Manufacturing,332996,332996,332996,332996,332996
486,All Other Miscellaneous Fabricated Metal Product Manufacturing,332999,332999,332997,332997,332997
487,All Other Miscellaneous Fabricated Metal Product Manufacturing,332999,332999,332998,332998,332998
488,All Other Miscellaneous Fabricated Metal Product Manufacturing,332999,332999,332999,332999,332999
489,Farm Machinery and Equipment Manufacturing,333111,333111,333111,333111,333111
490,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,333112,333112,333112,333112,333112
491,Construction Machinery Manufacturing,333120,333120,333120,333120,333120
492,Mining Machinery and Equipment Manufacturing,333131,333131,333131,333131,333131
493,Oil and Gas Field Machinery and Equipment Manufacturing,333132,333132,333132,333132,333132
494,Food Product Machinery Manufacturing,333241,333241,333294,333294,333294
495,Semiconductor Machinery Manufacturing,333242,333242,333295,333295,333295
496,"Sawmill, Woodworking, and Paper Machinery Manufacturing",333243,333243,333210,333210,333210
497,"Sawmill, Woodworking, and Paper Machinery Manufacturing",333243,333243,333291,333291,333291
498,Printing Machinery and Equipment Manufacturing,333244,333244,333293,333293,333293
499,Other Industrial Machinery Manufacturing,333249,333249,333220,333220,333220
500,Other Industrial Machinery Manufacturing,333249,333249,333292,333292,333292
501,Other Industrial Machinery Manufacturing,333249,333249,333298,333298,333298
502,Other Industrial Machinery Manufacturing,333249,333249,333298,339111,339111
503,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,333415,333415,333415,339111,339111
504,Industrial Process Furnace and Oven Manufacturing,333994,333994,333994,339111,339111
505,Scale and Balance Manufacturing,333997,333997,333997,339111,339111
506,All Other Miscellaneous General Purpose Machinery Manufacturing,333999,333999,333999,339111,339111
507,Institutional Furniture Manufacturing,337127,337127,337127,339111,339111
508,Surgical Appliance and Supplies Manufacturing,339113,339113,339113,339111,339111
509,Optical Instrument and Lens Manufacturing,333314,333314,333314,333314,333314
510,Photographic and Photocopying Equipment Manufacturing,333316,333316,333315,333315,333315
511,Photographic and Photocopying Equipment Manufacturing,333316,333316,334119,334119,334119
512,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,334118,334118,334119,334119,334119
513,Other Commercial and Service Industry Machinery Manufacturing,333318,333318,333311,333311,333311
514,Other Commercial and Service Industry Machinery Manufacturing,333318,333318,333312,333312,333312
515,Other Commercial and Service Industry Machinery Manufacturing,333318,333318,333313,333313,333313
516,Other Commercial and Service Industry Machinery Manufacturing,333318,333318,333319,333319,333319
517,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,333413,333413,333411,333411,333411
518,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,333413,333413,333412,333412,333412
519,Heating Equipment (except Warm Air Furnaces) Manufacturing,333414,333414,333414,333414,333414
520,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,333415,333415,333415,333415,333415
521,Industrial Mold Manufacturing,333511,333511,333511,333511,333511
522,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",333514,333514,333514,333514,333514
523,Cutting Tool and Machine Tool Accessory Manufacturing,333515,333515,333515,333515,333515
524,Machine Tool Manufacturing,333517,333517,333512,333512,333512
525,Machine Tool Manufacturing,333517,333517,333513,333513,333513
526,Rolling Mill and Other Metalworking Machinery Manufacturing,333519,333519,333516,333516,333516
527,Rolling Mill and Other Metalworking Machinery Manufacturing,333519,333519,333518,333518,333518
528,Turbine and Turbine Generator Set Units Manufacturing,333611,333611,333611,333611,333611
529,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",333612,333612,333612,333612,333612
530,Mechanical Power Transmission Equipment Manufacturing,333613,333613,333613,333613,333613
531,Other Engine Equipment Manufacturing,333618,333618,333618,333618,333618
532,Air and Gas Compressor Manufacturing,333912,333912,333912,333912,333912
533,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",333914,333911,333911,333911,333911
534,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",333914,333913,333913,333913,333913
535,Elevator and Moving Stairway Manufacturing,333921,333921,333921,333921,333921
536,Conveyor and Conveying Equipment Manufacturing,333922,333922,333922,333922,333922
537,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",333923,333923,333923,333923,333923
538,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",333924,333924,333924,333924,333924
539,Power-Driven Handtool Manufacturing,333991,333991,333991,333991,333991
540,Welding and Soldering Equipment Manufacturing,333992,333992,333992,333992,333992
541,Packaging Machinery Manufacturing,333993,333993,333993,333993,333993
542,Industrial Process Furnace and Oven Manufacturing,333994,333994,333994,333994,333994
543,Fluid Power Cylinder and Actuator Manufacturing,333995,333995,333995,333995,333995
544,Fluid Power Pump and Motor Manufacturing,333996,333996,333996,333996,333996
545,Scale and Balance Manufacturing,333997,333997,333997,333997,333997
546,All Other Miscellaneous General Purpose Machinery Manufacturing,333999,333999,333999,333999,333999
547,Electronic Computer Manufacturing,334111,334111,334111,334111,334111
548,Computer Storage Device Manufacturing,334112,334112,334112,334112,334112
549,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,334118,334118,334113,334113,334113
550,Telephone Apparatus Manufacturing,334210,334210,334210,334210,334210
551,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,334220,334220,334220,334220,334220
552,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,334515,334515,334515,334220,334220
553,Other Communications Equipment Manufacturing,334290,334290,334290,334290,334290
554,Audio and Video Equipment Manufacturing,334310,334310,334310,334310,334310
555,Bare Printed Circuit Board Manufacturing,334412,334412,334412,334412,334412
556,Semiconductor and Related Device Manufacturing,334413,334413,334413,334413,334413
557,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",334416,334416,334414,334414,334414
558,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",334416,334416,334415,334415,334415
559,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",334416,334416,334416,334416,334416
560,Electronic Connector Manufacturing,334417,334417,334417,334417,334417
561,Printed Circuit Assembly (Electronic Assembly) Manufacturing,334418,334418,334418,334418,334418
562,Other Electronic Component Manufacturing,334419,334419,334411,334411,334411
563,Other Electronic Component Manufacturing,334419,334419,334419,334419,334419
564,Electromedical and Electrotherapeutic Apparatus Manufacturing,334510,334510,334510,334510,334510
565,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",334511,334511,334511,334511,334511
566,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",334512,334512,334512,334512,334512
567,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",334513,334513,334513,334513,334513
568,Totalizing Fluid Meter and Counting Device Manufacturing,334514,334514,334514,334514,334514
569,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,334515,334515,334515,334515,334515
570,Analytical Laboratory Instrument Manufacturing,334516,334516,334516,334516,334516
571,Irradiation Apparatus Manufacturing,334517,334517,334517,334517,334517
572,Other Measuring and Controlling Device Manufacturing,334519,334519,334518,334518,334518
573,Other Measuring and Controlling Device Manufacturing,334519,334519,334519,334519,334519
574,Blank Magnetic and Optical Recording Media Manufacturing,334613,334613,334613,334613,334613
575,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing ",334614,334614,334611,334611,334611
576,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing ",334614,334614,334612,334612,334612
577,Electric Lamp Bulb and Part Manufacturing,335110,335110,335110,335110,335110
578,Residential Electric Lighting Fixture Manufacturing,335121,335121,335121,335121,335121
579,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",335122,335122,335122,335122,335122
580,Other Lighting Equipment Manufacturing,335129,335129,335129,335129,335129
581,Small Electrical Appliance Manufacturing,335210,335210,335211,335211,335211
582,Small Electrical Appliance Manufacturing,335210,335210,335212,335212,335212
583,Major Household Appliance Manufacturing,335220,335221,335221,335221,335221
584,Major Household Appliance Manufacturing,335220,335222,335222,335222,335222
585,Major Household Appliance Manufacturing,335220,335224,335224,335224,335224
586,Major Household Appliance Manufacturing,335220,335228,335228,335228,335228
587,"Power, Distribution, and Specialty Transformer Manufacturing",335311,335311,335311,335311,335311
588,Motor and Generator Manufacturing,335312,335312,335312,335312,335312
589,Switchgear and Switchboard Apparatus Manufacturing,335313,335313,335313,335313,335313
590,Relay and Industrial Control Manufacturing,335314,335314,335314,335314,335314
591,Storage Battery Manufacturing,335911,335911,335911,335911,335911
592,Primary Battery Manufacturing,335912,335912,335912,335912,335912
593,Fiber Optic Cable Manufacturing,335921,335921,335921,335921,335921
594,Other Communication and Energy Wire Manufacturing,335929,335929,335929,335929,335929
595,Current-Carrying Wiring Device Manufacturing,335931,335931,335931,335931,335931
596,Noncurrent-Carrying Wiring Device Manufacturing,335932,335932,335932,335932,335932
597,Carbon and Graphite Product Manufacturing,335991,335991,335991,335991,335991
598,All Other Miscellaneous Electrical Equipment and Component Manufacturing,335999,335999,335999,335999,335999
599,Automobile Manufacturing,336111,336111,336111,336111,336111
600,Light Truck and Utility Vehicle Manufacturing,336112,336112,336112,336112,336112
601,Heavy Duty Truck Manufacturing,336120,336120,336120,336120,336120
602,Motor Vehicle Body Manufacturing,336211,336211,336211,336211,336211
603,Truck Trailer Manufacturing,336212,336212,336212,336212,336212
604,Motor Home Manufacturing,336213,336213,336213,336213,336213
605,Travel Trailer and Camper Manufacturing,336214,336214,336214,336214,336214
606,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,336310,336310,336311,336311,336311
607,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,336310,336310,336312,336312,336312
608,Motor Vehicle Electrical and Electronic Equipment Manufacturing,336320,336320,336321,336321,336321
609,Motor Vehicle Electrical and Electronic Equipment Manufacturing,336320,336320,336322,336322,336322
610,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,336330,336330,336330,336330,336330
611,Motor Vehicle Brake System Manufacturing,336340,336340,336340,336340,336340
612,Motor Vehicle Transmission and Power Train Parts Manufacturing,336350,336350,336350,336350,336350
613,Motor Vehicle Seating and Interior Trim Manufacturing,336360,336360,336360,336360,336360
614,Motor Vehicle Metal Stamping,336370,336370,336370,336370,336370
615,Other Motor Vehicle Parts Manufacturing,336390,336390,336391,336391,336391
616,Other Motor Vehicle Parts Manufacturing,336390,336390,336399,336399,336399
617,Aircraft Manufacturing,336411,336411,336411,336411,336411
618,Aircraft Engine and Engine Parts Manufacturing,336412,336412,336412,336412,336412
619,Other Aircraft Parts and Auxiliary Equipment Manufacturing,336413,336413,336413,336413,336413
620,Guided Missile and Space Vehicle Manufacturing,336414,336414,336414,336414,336414
621,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,336415,336415,336415,336415,336415
622,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,336419,336419,336419,336419,336419
623,Railroad Rolling Stock Manufacturing,336510,336510,336510,336510,336510
624,Ship Building and Repairing,336611,336611,336611,336611,336611
625,Boat Building,336612,336612,336612,336612,336612
626,"Motorcycle, Bicycle, and Parts Manufacturing",336991,336991,336991,336991,336991
627,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",336992,336992,336992,336992,336992
628,All Other Transportation Equipment Manufacturing,336999,336999,336999,336999,336999
629,Wood Kitchen Cabinet and Countertop Manufacturing,337110,337110,337110,337110,337110
630,Upholstered Household Furniture Manufacturing,337121,337121,337121,337121,337121
631,Nonupholstered Wood Household Furniture Manufacturing,337122,337122,337122,337122,337122
632,Metal Household Furniture Manufacturing,337124,337124,337124,337124,337124
633,Household Furniture (except Wood and Metal) Manufacturing,337125,337125,337125,337125,337125
634,Institutional Furniture Manufacturing,337127,337127,337127,337127,337127
635,Wood Office Furniture Manufacturing,337211,337211,337211,337211,337211
636,Custom Architectural Woodwork and Millwork Manufacturing,337212,337212,337212,337212,337212
637,Office Furniture (except Wood) Manufacturing,337214,337214,337214,337214,337214
638,"Showcase, Partition, Shelving, and Locker Manufacturing",337215,337215,337215,337215,337215
639,Mattress Manufacturing,337910,337910,337910,337910,337910
640,Blind and Shade Manufacturing,337920,337920,337920,337920,337920
641,Surgical and Medical Instrument Manufacturing,339112,339112,339112,339112,339112
642,Surgical Appliance and Supplies Manufacturing,339113,339113,339113,339113,339113
643,Dental Equipment and Supplies Manufacturing,339114,339114,339114,339114,339114
644,Ophthalmic Goods Manufacturing,339115,339115,339115,339115,339115
645,Dental Laboratories,339116,339116,339116,339116,339116
646,Jewelry and Silverware Manufacturing,339910,339910,339911,339911,339911
647,Jewelry and Silverware Manufacturing,339910,339910,339912,339912,339912
648,Jewelry and Silverware Manufacturing,339910,339910,339913,339913,339913
649,Jewelry and Silverware Manufacturing,339910,339910,339914,339914,339914
650,Sporting and Athletic Goods Manufacturing,339920,339920,339920,339920,339920
651,"Doll, Toy, and Game Manufacturing",339930,339930,339931,339931,339931
652,"Doll, Toy, and Game Manufacturing",339930,339930,339932,339932,339932
653,Office Supplies (except Paper) Manufacturing,339940,339940,339941,339941,339941
654,Office Supplies (except Paper) Manufacturing,339940,339940,339942,339942,339942
655,Office Supplies (except Paper) Manufacturing,339940,339940,339943,339943,339943
656,Office Supplies (except Paper) Manufacturing,339940,339940,339944,339944,339944
657,Sign Manufacturing,339950,339950,339950,339950,339950
658,"Gasket, Packing, and Sealing Device Manufacturing",339991,339991,339991,339991,339991
659,Musical Instrument Manufacturing,339992,339992,339992,339992,339992
660,"Fastener, Button, Needle, and Pin Manufacturing",339993,339993,339993,339993,339993
661,"Broom, Brush, and Mop Manufacturing",339994,339994,339994,339994,339994
662,Burial Casket Manufacturing,339995,339995,339995,339995,339995
663,All Other Miscellaneous Manufacturing,339999,339999,339999,339999,339999
664,Automobile and Other Motor Vehicle Merchant Wholesalers,423110,423110,423110,423110,421110
665,Motor Vehicle Supplies and New Parts Merchant Wholesalers,423120,423120,423120,423120,421120
666,Tire and Tube Merchant Wholesalers,423130,423130,423130,423130,421130
667,Motor Vehicle Parts (Used) Merchant Wholesalers,423140,423140,423140,423140,421140
668,Furniture Merchant Wholesalers,423210,423210,423210,423210,421210
669,Home Furnishing Merchant Wholesalers,423220,423220,423220,423220,421220
670,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",423310,423310,423310,423310,421310
671,"Brick, Stone, and Related Construction Material Merchant Wholesalers",423320,423320,423320,423320,421320
672,"Roofing, Siding, and Insulation Material Merchant Wholesalers",423330,423330,423330,423330,421330
673,Other Construction Material Merchant Wholesalers,423390,423390,423390,423390,421390
674,Photographic Equipment and Supplies Merchant Wholesalers,423410,423410,423410,423410,421410
675,Office Equipment Merchant Wholesalers,423420,423420,423420,423420,421420
676,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,423430,423430,423430,423430,421430
677,Other Commercial Equipment Merchant Wholesalers,423440,423440,423440,423440,421440
678,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",423450,423450,423450,423450,421450
679,Ophthalmic Goods Merchant Wholesalers,423460,423460,423460,423460,421460
680,Other Professional Equipment and Supplies Merchant Wholesalers,423490,423490,423490,423490,421490
681,Metal Service Centers and Other Metal Merchant Wholesalers,423510,423510,423510,423510,421510
682,Coal and Other Mineral and Ore Merchant Wholesalers,423520,423520,423520,423520,421520
683,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",423610,423610,423610,423610,421610
684,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",423620,423620,423620,423620,421620
685,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,423720,423720,423620,423620,421620
686,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",423620,423620,423720,423720,421720
687,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,423720,423720,423720,423720,421720
688,Other Electronic Parts and Equipment Merchant Wholesalers,423690,423690,423690,423690,421690
689,Hardware Merchant Wholesalers,423710,423710,423710,423710,421710
690,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,423730,423730,423730,423730,421730
691,Refrigeration Equipment and Supplies Merchant Wholesalers,423740,423740,423740,423740,421740
692,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,423810,423810,423810,423810,421810
693,Farm and Garden Machinery and Equipment Merchant Wholesalers,423820,423820,423820,423820,421820
694,Industrial Machinery and Equipment Merchant Wholesalers,423830,423830,423830,423830,421830
695,Industrial Supplies Merchant Wholesalers,423840,423840,423840,423840,421840
696,Service Establishment Equipment and Supplies Merchant Wholesalers,423850,423850,423850,423850,421850
697,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,423860,423860,423860,423860,421860
698,Sporting and Recreational Goods and Supplies Merchant Wholesalers,423910,423910,423910,423910,421910
699,Toy and Hobby Goods and Supplies Merchant Wholesalers,423920,423920,423920,423920,421920
700,Recyclable Material Merchant Wholesalers,423930,423930,423930,423930,421930
701,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",423940,423940,423940,423940,421940
702,Other Miscellaneous Durable Goods Merchant Wholesalers,423990,423990,423990,423990,421990
703,Printing and Writing Paper Merchant Wholesalers,424110,424110,424110,424110,422110
704,Stationery and Office Supplies Merchant Wholesalers,424120,424120,424120,424120,422120
705,Industrial and Personal Service Paper Merchant Wholesalers,424130,424130,424130,424130,422130
706,Drugs and Druggists' Sundries Merchant Wholesalers,424210,424210,424210,424210,422210
707,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",424310,424310,424310,424310,422310
708,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,424320,424320,424320,424320,422320
709,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",424330,424330,424330,424330,422330
710,Footwear Merchant Wholesalers,424340,424340,424340,424340,422340
711,General Line Grocery Merchant Wholesalers,424410,424410,424410,424410,422410
712,Packaged Frozen Food Merchant Wholesalers,424420,424420,424420,424420,422420
713,Dairy Product (except Dried or Canned) Merchant Wholesalers,424430,424430,424430,424430,422430
714,Poultry and Poultry Product Merchant Wholesalers,424440,424440,424440,424440,422440
715,Confectionery Merchant Wholesalers,424450,424450,424450,424450,422450
716,Fish and Seafood Merchant Wholesalers,424460,424460,424460,424460,422460
717,Meat and Meat Product Merchant Wholesalers,424470,424470,424470,424470,422470
718,Fresh Fruit and Vegetable Merchant Wholesalers,424480,424480,424480,424480,422480
719,Other Grocery and Related Products Merchant Wholesalers,424490,424490,424490,424490,422490
720,Grain and Field Bean Merchant Wholesalers,424510,424510,424510,424510,422510
721,Livestock Merchant Wholesalers,424520,424520,424520,424520,422520
722,Other Farm Product Raw Material Merchant Wholesalers,424590,424590,424590,424590,422590
723,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,424610,424610,424610,424610,422610
724,Other Chemical and Allied Products Merchant Wholesalers,424690,424690,424690,424690,422690
725,Petroleum Bulk Stations and Terminals,424710,424710,424710,424710,422710
726,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),424720,424720,424720,424720,422720
727,Beer and Ale Merchant Wholesalers,424810,424810,424810,424810,422810
728,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,424820,424820,424820,424820,422820
729,Farm Supplies Merchant Wholesalers,424910,424910,424910,424910,422910
730,"Book, Periodical, and Newspaper Merchant Wholesalers",424920,424920,424920,424920,422920
731,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",424930,424930,424930,424930,422930
732,Tobacco and Tobacco Product Merchant Wholesalers,424940,424940,424940,424940,422940
733,"Paint, Varnish, and Supplies Merchant Wholesalers",424950,424950,424950,424950,422950
734,Other Miscellaneous Nondurable Goods Merchant Wholesalers,424990,424990,424990,424990,422990
735,Business to Business Electronic Markets,425110,425110,425110,425110,421110
736,Business to Business Electronic Markets,425110,425110,425110,425110,421120
737,Business to Business Electronic Markets,425110,425110,425110,425110,421130
738,Business to Business Electronic Markets,425110,425110,425110,425110,421140
739,Business to Business Electronic Markets,425110,425110,425110,425110,421210
740,Business to Business Electronic Markets,425110,425110,425110,425110,421220
741,Business to Business Electronic Markets,425110,425110,425110,425110,421310
742,Business to Business Electronic Markets,425110,425110,425110,425110,421320
743,Business to Business Electronic Markets,425110,425110,425110,425110,421330
744,Business to Business Electronic Markets,425110,425110,425110,425110,421390
745,Business to Business Electronic Markets,425110,425110,425110,425110,421410
746,Business to Business Electronic Markets,425110,425110,425110,425110,421420
747,Business to Business Electronic Markets,425110,425110,425110,425110,421430
748,Business to Business Electronic Markets,425110,425110,425110,425110,421440
749,Business to Business Electronic Markets,425110,425110,425110,425110,421450
750,Business to Business Electronic Markets,425110,425110,425110,425110,421460
751,Business to Business Electronic Markets,425110,425110,425110,425110,421490
752,Business to Business Electronic Markets,425110,425110,425110,425110,421510
753,Business to Business Electronic Markets,425110,425110,425110,425110,421520
754,Business to Business Electronic Markets,425110,425110,425110,425110,421610
755,Business to Business Electronic Markets,425110,425110,425110,425110,421620
756,Business to Business Electronic Markets,425110,425110,425110,425110,421690
757,Business to Business Electronic Markets,425110,425110,425110,425110,421710
758,Business to Business Electronic Markets,425110,425110,425110,425110,421720
759,Business to Business Electronic Markets,425110,425110,425110,425110,421730
760,Business to Business Electronic Markets,425110,425110,425110,425110,421740
761,Business to Business Electronic Markets,425110,425110,425110,425110,421810
762,Business to Business Electronic Markets,425110,425110,425110,425110,421820
763,Business to Business Electronic Markets,425110,425110,425110,425110,421830
764,Business to Business Electronic Markets,425110,425110,425110,425110,421840
765,Business to Business Electronic Markets,425110,425110,425110,425110,421850
766,Business to Business Electronic Markets,425110,425110,425110,425110,421860
767,Business to Business Electronic Markets,425110,425110,425110,425110,421910
768,Business to Business Electronic Markets,425110,425110,425110,425110,421920
769,Business to Business Electronic Markets,425110,425110,425110,425110,421930
770,Business to Business Electronic Markets,425110,425110,425110,425110,421940
771,Business to Business Electronic Markets,425110,425110,425110,425110,421990
772,Business to Business Electronic Markets,425110,425110,425110,425110,422110
773,Business to Business Electronic Markets,425110,425110,425110,425110,422120
774,Business to Business Electronic Markets,425110,425110,425110,425110,422130
775,Business to Business Electronic Markets,425110,425110,425110,425110,422210
776,Business to Business Electronic Markets,425110,425110,425110,425110,422310
777,Business to Business Electronic Markets,425110,425110,425110,425110,422320
778,Business to Business Electronic Markets,425110,425110,425110,425110,422330
